2026-02-18 16:31:26 | INFO     | __main__                            | ============================================================
2026-02-18 16:31:26 | INFO     | __main__                            |   ML PIPELINE — START
2026-02-18 16:31:26 | INFO     | __main__                            | ============================================================
2026-02-18 16:31:26 | INFO     | __main__                            | STEP 1 — Data Ingestion
2026-02-18 16:31:26 | INFO     | src.data.ingestion                  | Starting data ingestion  [source=synthetic]
2026-02-18 16:31:26 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=2,000]
2026-02-18 16:31:26 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (2000, 9), default_rate=44.30%
2026-02-18 16:31:26 | INFO     | src.data.ingestion                  | Raw data saved ➜ /Users/eolaw/Desktop/ml-pipeline-deployment-system/data/raw/raw_data.csv
2026-02-18 16:31:26 | INFO     | src.data.ingestion                  | Split — train=1,600  test=400  pos_rate=44.31%
2026-02-18 16:31:26 | INFO     | src.data.ingestion                  | Data ingestion completed successfully.
2026-02-18 16:31:26 | INFO     | src.utils                           | [timer] data_ingestion completed in 10.30ms
2026-02-18 16:31:26 | INFO     | __main__                            | STEP 2 — Data Validation
2026-02-18 16:31:26 | INFO     | src.data.validation                 | Validating data  [1,600 rows × 9 cols]
2026-02-18 16:31:26 | INFO     | src.data.validation                 | Validation passed.
2026-02-18 16:31:26 | INFO     | __main__                            | Validation passed — 0 warning(s), 0 error(s)
2026-02-18 16:31:26 | INFO     | src.utils                           | [timer] data_validation completed in 2.50ms
2026-02-18 16:31:26 | INFO     | __main__                            | STEP 3 — Feature Engineering
2026-02-18 16:31:26 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:31:26 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:31:26 | INFO     | __main__                            | Features: 8 raw ➜ 14 engineered
2026-02-18 16:31:26 | INFO     | src.utils                           | [timer] feature_engineering completed in 3.58ms
2026-02-18 16:31:26 | INFO     | __main__                            | STEP 4 — Data Preprocessing
2026-02-18 16:31:26 | INFO     | src.data.preprocessing              | Fitting preprocessing pipeline …
2026-02-18 16:31:26 | INFO     | src.data.preprocessing              | Pipeline — numeric=['income', 'age', 'loan_amount', 'credit_score', 'employment_years', 'debt_ratio', 'num_accounts'], categorical=['employment_type'], passthrough=['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:31:26 | INFO     | src.data.preprocessing              | Preprocessing complete — train shape: (1600, 15), test shape:  (400, 15)
2026-02-18 16:31:26 | INFO     | src.data.preprocessing              | Preprocessor saved ➜ /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:31:26 | INFO     | __main__                            | Final feature matrix: (1600, 15)
2026-02-18 16:31:26 | INFO     | src.utils                           | [timer] preprocessing completed in 12.03ms
2026-02-18 16:31:26 | INFO     | __main__                            | STEP 5 — Model Training (GridSearchCV + Cross-Validation)
2026-02-18 16:31:26 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:31:26 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:31:27 | INFO     | src.utils                           | [timer] model_training completed in 1440.02ms
2026-02-18 16:31:59 | INFO     | __main__                            | ============================================================
2026-02-18 16:31:59 | INFO     | __main__                            |   ML PIPELINE — START
2026-02-18 16:31:59 | INFO     | __main__                            | ============================================================
2026-02-18 16:31:59 | INFO     | __main__                            | STEP 1 — Data Ingestion
2026-02-18 16:31:59 | INFO     | src.data.ingestion                  | Starting data ingestion  [source=synthetic]
2026-02-18 16:31:59 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=2,000]
2026-02-18 16:31:59 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (2000, 9), default_rate=44.30%
2026-02-18 16:31:59 | INFO     | src.data.ingestion                  | Raw data saved ➜ /Users/eolaw/Desktop/ml-pipeline-deployment-system/data/raw/raw_data.csv
2026-02-18 16:31:59 | INFO     | src.data.ingestion                  | Split — train=1,600  test=400  pos_rate=44.31%
2026-02-18 16:31:59 | INFO     | src.data.ingestion                  | Data ingestion completed successfully.
